course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
CHME 203,Organic and Polymer Chemistry,1L,21,2.92,0.59,3.0,18.2,63.6,13.6,0.0,0.0,0.0,0.0,0.0,4.5,22,SP2025,Ainur Zhanbassynova
CHME 303,Separation Processes,1L,45,2.7,0.76,2.67,13.0,54.3,23.9,4.3,2.2,0.0,2.2,0.0,0.0,46,SP2025,Stavros Poulopoulos
CHME 303,Separation Processes,1L,45,2.7,0.76,2.67,13.0,54.3,23.9,4.3,2.2,0.0,2.2,0.0,0.0,46,SP2025,Sabina Khamzina
CHME 304,Chemical Reaction Engineering,1L,44,2.64,0.69,2.67,4.4,60.0,24.4,8.9,0.0,0.0,2.2,0.0,0.0,45,SP2025,Stavros Poulopoulos
CHME 304,Chemical Reaction Engineering,1L,44,2.64,0.69,2.67,4.4,60.0,24.4,8.9,0.0,0.0,2.2,0.0,0.0,45,SP2025,Sabina Khamzina
CHME 305L,Chemical Engineering Laboratory I,1Lb,12,3.36,0.36,3.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Ainur Zhanbassynova
CHME 305L,Chemical Engineering Laboratory I,2Lb,12,3.61,0.13,3.67,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Ainur Zhanbassynova
CHME 305L,Chemical Engineering Laboratory I,3Lb,12,3.53,0.23,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,SP2025,Ainur Zhanbassynova
CHME 305L,Chemical Engineering Laboratory I,4Lb,9,2.93,0.43,3.0,0.0,88.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,9,SP2025,Ainur Zhanbassynova
CHME 352,Research Practice,1L,47,3.52,0.61,3.67,72.3,23.4,2.1,0.0,2.1,0.0,0.0,0.0,0.0,47,SP2025,Zhumabay Bakenov
CHME 352,Research Practice,1L,47,3.52,0.61,3.67,72.3,23.4,2.1,0.0,2.1,0.0,0.0,0.0,0.0,47,SP2025,Ainur Zhanbassynova
CHME 402,Materials Chemistry,1L,41,3.55,0.41,3.67,75.6,22.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,41,SP2025,Aishuak Konarov
CHME 403,Chemical Process Control and Safety,1L,41,2.97,0.79,3.0,19.5,63.4,12.2,2.4,2.4,0.0,0.0,0.0,0.0,41,SP2025,Dhawal Shah
CHME 421,Tissue Engineering,1L,25,3.04,0.63,3.0,32.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,25,SP2025,Cevat Erisken
CHME 454,Transport Phenomena and Operations,1L,25,2.85,0.64,3.0,7.7,69.2,11.5,7.7,0.0,0.0,0.0,0.0,3.8,26,SP2025,Sergey Spotar
CHME 461,Powder technology,1L,26,3.3,0.57,3.33,42.3,46.2,11.5,0.0,0.0,0.0,0.0,0.0,0.0,26,SP2025,Boris Golman
CEE 202,Environmental Engineering,1L,56,2.92,0.63,3.0,12.5,73.2,10.7,3.6,0.0,0.0,0.0,0.0,0.0,56,SP2025,Mert Guney
CEE 203,Structural Analysis,1L,60,2.49,1.19,2.67,21.3,32.8,23.0,13.1,8.2,0.0,1.6,0.0,0.0,61,SP2025,Elnara Kussinova
CEE 301,Structural Design – Steel,1L,73,2.14,1.0,2.33,4.1,35.1,39.2,9.5,10.8,0.0,0.0,0.0,1.4,74,SP2025,Dichuan Zhang
CEE 303,Geotechnical Design,1L,66,2.51,0.8,2.67,4.5,56.1,27.3,9.1,3.0,0.0,0.0,0.0,0.0,66,SP2025,Sung Moon
CEE 305,Hydraulics and Hydrology,1L,71,2.76,0.49,2.67,1.4,73.2,23.9,1.4,0.0,0.0,0.0,0.0,0.0,71,SP2025,Ferhat Karaca
CEE 350,Water and Wastewater Treatment Processes,1L,32,2.75,0.76,3.0,15.6,53.1,25.0,6.2,0.0,0.0,0.0,0.0,0.0,32,SP2025,Woojin Lee
CEE 400,Transportation Engineering,1L,74,3.89,0.2,4.0,95.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,SP2025,Myunghoon Ko
CEE 454,Foundation Engineering,1L,49,3.48,0.59,3.67,57.1,32.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,49,SP2025,Alfrendo Satyanaga
